Date,Date (text),Title,Presented by,Summary,Video URL,Video ID,Duration (min),Views,Views (text),Likes,Subscribers,Published (relative),Duration (text),Category,Tags,Channel,Is Live,Description excerpt
2026-02-13,"Feb 13, 2026",AI Impact Summit: BharatGen के Prof. Arnab Bhattacharya से ख़ास बातचीत | AI Startups in India,IndiaAI,AI Impact Summit: BharatGen के Prof. Arnab Bhattacharya से ख़ास बातचीत | AI Startups in India,https://www.youtube.com/watch?v=E_xsm1DHHEU,E_xsm1DHHEU,10.72,2660,"2,660 views",60,20.6K subscribers,3 days ago,10:43,,,IndiaAI,False,AI Impact Summit: BharatGen के Prof. Arnab Bhattacharya से ख़ास बातचीत | AI Startups in India #IndiaAIImpactSummit2026 #ResponsibleAI #peopleplanetprogress Video Courtesy: @DDNews Disclaimer: The copyright and all associ...
2026-02-13,"Feb 13, 2026","India Ai Impact Summit 2026: Exclusive Interview with VenuGopal Lambu, CEO And MD Of LTIMindtree",VenuGopal Lambu,"In an exclusive interaction at the India AI Impact Summit 2026, Venugopal Lambu, CEO & MD of LTIMindtree, shared valuable insights on enterprise AI adoption, responsible innovation, and India’s expanding leadership role in the global AI ecosystem.",https://www.youtube.com/watch?v=_RZiJOw3An0,_RZiJOw3An0,10.48,581,581 views,9,20.6K subscribers,3 days ago,10:29,,,IndiaAI,False,"In an exclusive interaction at the India AI Impact Summit 2026, Venugopal Lambu, CEO & MD of LTIMindtree, shared valuable insights on enterprise AI adoption, responsible innovation, and India’s expanding leadership role ..."
2026-02-12,"Feb 12, 2026","AI Impact Summit 2026 | ""India Will Build AI Solutions For The Whole World"": India AI Mission CEO",IndiaAI,"As India gears up to host the Global AI Impact Summit in New Delhi from February 16 to 20, a pivotal question takes centre stage: Can India steer the global artificial intelligence race? In an exclusive conversation, Abhishek Singh, CEO of the India AI Mission, asserts that the country is poised to transform its...",https://www.youtube.com/watch?v=mBv8Wfo5FCA,mBv8Wfo5FCA,5.52,2335,"2,335 views",12,20.6K subscribers,3 days ago,5:31,,,IndiaAI,False,"As India gears up to host the Global AI Impact Summit in New Delhi from February 16 to 20, a pivotal question takes centre stage: Can India steer the global artificial intelligence race? In an exclusive conversation, Abh..."
2026-02-12,"Feb 12, 2026","India AI Impact Summit 2026: PJ Narayanan on Data, GPUs & Global Leadership | Exclusive | DD India",IndiaAI,"“Data is the new oil” in today’s AI-driven world. Narayanan, former Director of IIIT Hyderabad, if data is the oil, then compute is the fire that unlocks its true energy.",https://www.youtube.com/watch?v=Y3vEIK10G1Y,Y3vEIK10G1Y,11.83,351,351 views,4,20.6K subscribers,3 days ago,11:50,,,IndiaAI,False,"“Data is the new oil” in today’s AI-driven world. According to P. J. Narayanan, former Director of IIIT Hyderabad, if data is the oil, then compute is the fire that unlocks its true energy. With more than 30,000 GPUs now..."
2026-02-10,"Feb 10, 2026",India AI Impact Summit 2026 | भारत AI की नई महाशक्ति,IndiaAI,"भारत AI का वैश्विक केन्द्र के रूप में उभर रहा है - India AI Impact Summit 2026 को 19-20 फरवरी 2026 को भारत मंडपम, नई दिल्ली में आयोजित किया जा रहा है। यह पहला AI Impact Summit है जिसे Global South (दक्षिणी दुनिया) में होस्ट किया जा रहा है, जिसका लक्ष्य AI को मानवता के कल्याण, समावेशी विकास और सतत प्रगति के लिए...",https://www.youtube.com/watch?v=GB3-nqV9Qf4,GB3-nqV9Qf4,8.48,1501,"1,501 views",20,20.6K subscribers,5 days ago,8:29,,,IndiaAI,False,"भारत AI का वैश्विक केन्द्र के रूप में उभर रहा है - India AI Impact Summit 2026 को 19-20 फरवरी 2026 को भारत मंडपम, नई दिल्ली में आयोजित किया जा रहा है। यह पहला AI Impact Summit है जिसे Global South (दक्षिणी दुनिया) में हो..."
2026-02-09,"Feb 9, 2026","AI Impact Summit 2026: Exclusive Interview with Dr. Arastu Sharma, CEO, Shodh AI | DD News",Dr. Arastu Sharma,"AI Impact Summit 2026: Exclusive Interview with Dr. Arastu Sharma, CEO, Shodh AI | DD News",https://www.youtube.com/watch?v=AekfRsLt3JY,AekfRsLt3JY,11.53,609,609 views,7,20.6K subscribers,6 days ago,11:32,,,IndiaAI,False,"AI Impact Summit 2026: Exclusive Interview with Dr. Arastu Sharma, CEO, Shodh AI | DD News #indiaaiimpactsummit2026 #PeoplePlanetProgress #ResponsibleAI #ethicalai Video/ Podcast Courtesy: @DDNews Disclaimer: The copyrig..."
2026-02-09,"Feb 9, 2026",Digital India Ask Our Experts on IndiaAI Impact Summit 2026,IndiaAI,"In this episode of Digital India: Ask Our Experts, we speak with Abhishek Singh- Additional Secretary, MeitY; CEO, IndiaAI Mission; and Director General, NIC to explore why the India AI Impact Summit marks a milestone for India and the world, with a strong emphasis on people, planet, and progress. Hosted by the...",https://www.youtube.com/watch?v=A7g3E5s7lyA,A7g3E5s7lyA,47.85,540,540 views,15,20.6K subscribers,6 days ago,47:51,,,IndiaAI,False,"In this episode of Digital India: Ask Our Experts, we speak with Abhishek Singh- Additional Secretary, MeitY; CEO, IndiaAI Mission; and Director General, NIC to explore why the India AI Impact Summit marks a milestone fo..."
2026-02-09,"Feb 9, 2026",India‑AI Impact Summit | AI Innovation in Brain Health and Preventive Care | Expert Insights,IndiaAI,"At the India-AI Impact Summit 2026, Dr. Puneet Agarwal- Chairman and Founder of Intellihealth (NEURODx) unveiled India’s first AI-powered digital twin of the brain.",https://www.youtube.com/watch?v=WEbWSWNuPmw,WEbWSWNuPmw,14.62,134,134 views,1,20.6K subscribers,6 days ago,14:37,,,IndiaAI,False,"At the India-AI Impact Summit 2026, Dr. Puneet Agarwal- Chairman and Founder of Intellihealth (NEURODx) unveiled India’s first AI-powered digital twin of the brain. Designed for early detection of neurological disorders,..."
2026-02-09,"Feb 9, 2026",AI Impact Summit 2026: Soket AI के अभिषेक अपरवाल से खास बातचीत | भारत का वैश्विक AI Vision,IndiaAI,AI Impact Summit 2026: Soket AI के अभिषेक अपरवाल से खास बातचीत | भारत का वैश्विक AI Vision,https://www.youtube.com/watch?v=jsbEhyBbnvo,jsbEhyBbnvo,10.57,127,127 views,3,20.6K subscribers,6 days ago,10:34,,,IndiaAI,False,AI Impact Summit 2026: Soket AI के अभिषेक अपरवाल से खास बातचीत | भारत का वैश्विक AI Vision #indiaaiimpactsummit2026 #PeoplePlanetProgress #ResponsibleAI #ethicalai Video Courtesy: @DDNews Disclaimer: The copyright and al...
2026-02-09,"Feb 9, 2026",UN Tech Envoy Amandeep Gill in Conversation with Anirudh Suri | Trailer,Anirudh Suri,"Amandeep Gill on the looming AI divide, global power concentration, and whether the world is heading toward a second great divergence.",https://www.youtube.com/watch?v=bcB0rQ5oI9s,bcB0rQ5oI9s,1.93,65,65 views,1,20.6K subscribers,6 days ago,1:56,,,IndiaAI,False,"Amandeep Gill on the looming AI divide, global power concentration, and whether the world is heading toward a second great divergence. #indiaaiimpactsummit2026 #PeoplePlanetProgress #ResponsibleAI #ethicalai"
